player,kills,deaths,assists,doublekills,triplekills,quadrakills,pentakills,damagetochampions,dpm,damageshare,damagetakenperminute,wardsplaced,wpm,controlwardsbought,vspm,totalgold,earned gpm,earnedgoldshare,cspm,golddiffat10,xpdiffat10,csdiffat10,golddiffat15,xpdiffat15,csdiffat15,gamelength
Spawn,0.6667,3.0,0.8889,0.0,0.0,0.0,0.0,12231.0,395.9075,0.2346,439.4332,7.1111,0.2375,2.8889,0.7787,10556.4444,216.2695,0.2355,8.5647,-447.3333,-324.1111,-9.8889,-1168.0,-582.8889,-14.3333,1810.3333
Biofrost,0.0,2.6667,2.3333,0.0,0.0,0.0,0.0,4783.1667,153.7156,0.0896,378.7174,41.6667,1.3479,12.1667,2.5783,6242.0,75.2137,0.0827,0.8242,-228.5,-29.3333,2.1667,-629.3333,-265.5,2.0,1811.5
Revenge,1.7222,3.0556,3.4444,0.0556,0.0,0.0,0.0,15507.0556,469.1652,0.2226,835.8556,9.7778,0.2866,4.8333,0.9577,11840.5556,229.8495,0.2308,8.1467,22.3889,-9.0,2.7778,-173.7222,-115.8333,1.3889,1959.2778
Kenvi,1.9444,3.2778,3.8889,0.1111,0.0556,0.0,0.0,9715.1667,299.3414,0.1409,971.3774,11.4444,0.3427,9.8889,1.7899,10243.6667,182.3767,0.1821,5.5242,-33.7222,-74.0,-1.5556,-162.3889,-126.0,-1.2778,1959.2778
Ablazeolive,0.9091,3.4545,2.4545,0.0,0.0,0.0,0.0,16715.0909,541.2355,0.2615,708.7787,6.2727,0.1937,4.5455,0.9818,11078.0909,220.6117,0.2297,8.5534,-133.6364,-10.5455,-0.9091,-386.5455,-3.8182,-0.1818,1877.5455
Tactical,2.7778,2.5556,3.3333,0.2778,0.0,0.0,0.0,21154.0,625.197,0.289,469.1184,11.2778,0.3356,5.0556,1.1163,13243.0,268.4879,0.2693,9.159,-326.8889,-195.0556,-9.0556,-464.1111,-331.8889,-11.3889,1959.2778
Fleshy,0.6111,2.8333,5.9444,0.0,0.0,0.0,0.0,4853.7222,150.1965,0.0735,355.0572,47.3889,1.3834,14.7222,3.2741,7299.2222,90.3512,0.0896,1.0393,51.5,-126.8889,3.3333,-45.6667,-101.2222,5.3889,1959.2778
Solo,1.3125,3.25,5.6875,0.1875,0.0,0.0,0.0,15168.4375,434.8334,0.1959,884.0669,9.8125,0.2695,3.4375,1.0359,12428.625,225.8769,0.2122,7.5558,-39.6875,-90.4375,-3.1875,-178.0625,-147.3125,-4.1875,2113.375
Bugi,2.1111,3.3333,6.6111,0.0556,0.0,0.0,0.0,12667.8333,369.1811,0.1609,919.4868,12.1667,0.3467,9.0,1.7234,11218.0,192.8859,0.1782,5.3109,-221.6667,-160.8889,-7.5,-313.0,-179.3333,-7.8889,2078.3889
Maple,3.6111,2.5556,5.0,0.2778,0.0556,0.0,0.0,23975.7778,672.9592,0.2856,518.2576,12.8333,0.3733,6.8889,1.3304,13894.5556,266.8967,0.2481,8.3929,-12.5556,-67.3889,-1.3889,-37.2222,-262.3889,-6.4444,2078.3889
