,gameid,result,ckpm,gspd,golddiffat15,firstblood,firsttower,firsttothreetowers,turretplates,firstherald,firstdragon,dragons,minionkills,monsterkills,wpm,wcpm,gd10,cspm,csd10,egpm
39238,ESPORTSTMNT06_2775531,1,0.8535,0.0238804,-2053.0,0.0,0.0,1.0,4.0,0.0,0.0,0.429,0.492,0.393,2.9232,2.0484,-838.0,27.845,-37.0,230.492
11303,ESPORTSTMNT03_3099980,1,0.4223,0.0962783,877.0,1.0,1.0,0.0,7.0,0.0,0.0,0.167,0.519,0.442,2.93,2.2437,87.0,33.3392,-2.0,248.289
31367,ESPORTSTMNT03_3115587,0,0.6287,-0.0482881,-2159.0,0.0,1.0,0.0,2.0,1.0,1.0,0.6,0.497,0.43,3.1936,1.9866,-1665.0,32.9673,-17.0,206.258
2723,ESPORTSTMNT04_2664200,1,0.4229,0.00736445,501.0,1.0,1.0,1.0,3.0,1.0,1.0,0.5,0.505,0.476,3.6476,1.8767,674.0,34.7048,-2.0,241.501
1522,ESPORTSTMNT04_2663029,0,0.667,0.0367534,10.0,0.0,1.0,0.0,4.0,1.0,0.0,0.667,0.51,0.553,3.0782,2.1548,-199.0,34.425,13.0,236.306
1498,ESPORTSTMNT04_2665017,0,0.6951,-0.109822,3081.0,1.0,1.0,1.0,6.0,1.0,1.0,0.833,0.503,0.508,3.6492,1.7129,2346.0,33.3637,17.0,226.525
41291,ESPORTSTMNT01_3325205,1,0.6369,0.175553,1058.0,0.0,0.0,0.0,4.0,0.0,1.0,0.833,0.523,0.573,4.535,2.293,-629.0,34.7006,-5.0,256.606
31654,ESPORTSTMNT03_3114711,1,0.486,0.0757773,648.0,1.0,1.0,1.0,2.0,1.0,0.0,0.6,0.504,0.513,4.9415,2.3222,790.0,35.0765,-2.0,241.966
36502,ESPORTSTMNT03_3125428,1,0.7892,-0.0986563,-672.0,0.0,1.0,0.0,2.0,0.0,1.0,0.571,0.501,0.48,2.9989,1.7136,-1445.0,29.628,-33.0,212.875
38782,ESPORTSTMNT03_3127378,1,0.6905,0.140019,2579.0,0.0,1.0,1.0,6.0,1.0,1.0,0.5,0.503,0.577,3.3248,1.9437,-71.0,34.9361,-11.0,263.816
29674,ESPORTSTMNT03_3112838,1,0.8936,0.137567,980.0,1.0,0.0,1.0,6.0,0.0,1.0,0.667,0.517,0.57,4.0736,1.9711,206.0,35.0591,19.0,278.365
21791,ESPORTSTMNT02_3155063,1,0.5684,-0.157511,364.0,1.0,0.0,1.0,4.0,0.0,0.0,0.429,0.518,0.458,0.0,2.3645,2365.0,29.6476,22.0,218.992
26231,ESPORTSTMNT02_3164479,0,0.8475,-0.0554239,-240.0,1.0,1.0,0.0,3.0,0.0,1.0,0.333,0.501,0.471,0.0,1.9693,-665.0,32.2061,-17.0,199.179
36503,ESPORTSTMNT03_3125428,0,0.7892,0.0986563,672.0,1.0,0.0,1.0,5.0,1.0,0.0,0.429,0.499,0.52,3.4498,1.4205,1445.0,29.9211,33.0,211.039
1499,ESPORTSTMNT04_2665017,1,0.6951,0.109822,-3081.0,0.0,0.0,0.0,2.0,0.0,0.0,0.167,0.497,0.492,3.252,1.415,-2346.0,32.7927,-17.0,246.593
2710,ESPORTSTMNT04_2665208,1,0.5784,0.057343,295.0,1.0,0.0,0.0,6.0,1.0,0.0,0.5,0.508,0.568,4.4435,1.8142,204.0,34.5486,5.0,250.938
26230,ESPORTSTMNT02_3164479,1,0.8475,0.0554239,240.0,0.0,0.0,1.0,7.0,1.0,0.0,0.667,0.499,0.529,0.0,2.2933,665.0,32.8043,17.0,263.053
2722,ESPORTSTMNT04_2664200,0,0.4229,-0.00736445,-501.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.495,0.524,3.489,2.0352,-674.0,34.7313,2.0,212.738
2302,ESPORTSTMNT04_2664171,0,0.4665,-0.0741358,-2778.0,0.0,0.0,1.0,2.0,0.0,0.0,0.333,0.514,0.549,3.6285,1.7624,-567.0,34.3413,14.0,196.188
35159,ESPORTSTMNT03_3120628,0,0.4988,-0.0684105,-3484.0,1.0,0.0,0.0,1.0,0.0,1.0,0.2,0.48,0.479,4.6282,1.8568,-1950.0,35.5289,-38.0,216.599
36575,ESPORTSTMNT06_2775338,0,0.655,-0.0587615,-354.0,0.0,0.0,0.0,4.0,0.0,0.0,0.2,0.517,0.477,3.7589,1.7655,-776.0,36.5354,16.0,211.934
32458,ESPORTSTMNT03_3117109,0,0.3851,-0.107026,-2253.0,0.0,0.0,0.0,3.0,0.0,1.0,0.2,0.488,0.535,3.4403,1.7972,-806.0,34.0693,18.0,182.454
38783,ESPORTSTMNT03_3127378,0,0.6905,-0.140019,-2579.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.497,0.423,3.2992,1.7903,71.0,32.6854,11.0,208.88
15083,ESPORTSTMNT01_3309043,0,0.4427,-0.138329,-2249.0,0.0,0.0,0.0,4.0,0.0,0.0,0.2,0.507,0.494,3.724,1.7448,-180.0,33.0729,4.0,173.0
31655,ESPORTSTMNT03_3114711,0,0.486,-0.0757773,-648.0,0.0,0.0,0.0,2.0,0.0,1.0,0.4,0.496,0.487,3.5644,2.7273,-790.0,34.2934,2.0,189.818
42263,ESPORTSTMNT01_3324554,0,0.5589,-0.051598,-3437.0,0.0,0.0,0.0,2.0,0.0,0.0,0.333,0.483,0.467,3.548,1.6282,-519.0,31.2515,8.0,187.3
42622,ESPORTSTMNT01_3324646,0,0.797,-0.0242151,1833.0,0.0,1.0,1.0,4.0,1.0,0.0,0.4,0.518,0.478,3.2163,1.9924,-215.0,35.9772,8.0,225.831
4175,ESPORTSTMNT03_3090322,0,0.755,0.0285785,-2344.0,0.0,0.0,0.0,1.0,1.0,0.0,0.167,0.509,0.458,3.4228,3.2466,-1112.0,31.5604,-6.0,206.643
16583,ESPORTSTMNT01_3309955,0,0.3141,-0.0819099,-2225.0,0.0,0.0,0.0,1.0,0.0,0.0,0.167,0.49,0.435,3.4817,1.8586,-622.0,32.8272,-20.0,190.435
21731,ESPORTSTMNT02_3154050,1,1.0649,0.049788,-1125.0,1.0,0.0,0.0,1.0,0.0,1.0,0.6,0.512,0.534,0.0,2.4416,-1594.0,33.7662,-36.0,284.629
10402,ESPORTSTMNT01_3301190,1,0.9472,0.101946,2196.0,0.0,1.0,1.0,7.0,1.0,0.0,0.8,0.518,0.543,3.5147,2.8168,-603.0,31.882,26.0,253.356
2326,ESPORTSTMNT04_2665186,1,0.4458,0.122635,22.0,1.0,1.0,1.0,2.0,1.0,0.0,0.667,0.505,0.505,3.1469,1.993,477.0,33.3566,-16.0,247.327
13511,ESPORTSTMNT01_3304845,1,0.6136,0.0486529,1302.0,0.0,1.0,1.0,5.0,0.0,0.0,0.5,0.485,0.568,4.8822,2.241,214.0,35.0289,2.0,256.237
19823,ESPORTSTMNT02_3152211,0,0.8359,-0.0773611,337.0,1.0,0.0,0.0,4.0,1.0,0.0,0.2,0.526,0.463,0.0,2.3248,437.0,32.7035,3.0,204.287
6574,ESPORTSTMNT03_3093557,0,0.742,-0.0571822,-146.0,1.0,1.0,1.0,5.0,1.0,1.0,0.6,0.517,0.477,2.9947,2.1201,853.0,33.6307,0.0,234.058
6562,ESPORTSTMNT03_3093537,0,0.8182,-0.0751572,-650.0,0.0,0.0,0.0,3.0,1.0,1.0,0.4,0.503,0.419,3.8182,1.5545,-1503.0,33.3818,-18.0,214.467
10439,ESPORTSTMNT01_3301201,1,0.6038,0.0981027,523.0,1.0,1.0,1.0,4.0,0.0,1.0,0.8,0.507,0.548,4.1171,1.6743,-579.0,35.8737,-15.0,266.179
1523,ESPORTSTMNT04_2663029,1,0.667,-0.0367534,-10.0,1.0,0.0,1.0,5.0,0.0,1.0,0.333,0.49,0.447,3.5143,1.7443,199.0,32.065,-13.0,257.089
24563,ESPORTSTMNT02_3161272,0,0.6197,-0.112225,-2048.0,0.0,0.0,0.0,3.0,0.0,1.0,0.5,0.485,0.404,0.0,1.9398,-220.0,33.004,-22.0,188.535
26014,ESPORTSTMNT02_3163371,1,0.6014,-0.0549753,-12.0,1.0,0.0,0.0,2.0,0.0,1.0,0.5,0.516,0.488,0.0,1.66,-687.0,30.6014,-27.0,221.259
15647,ESPORTSTMNT01_3311377,0,0.3605,-0.116043,-507.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333,0.507,0.433,2.9614,1.2876,-542.0,32.0086,-1.0,172.949
30359,ESPORTSTMNT03_3116064,0,0.8274,-0.160294,-6945.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,0.509,0.447,3.2028,1.7349,-2809.0,32.7224,-18.0,204.011
34954,ESPORTSTMNT03_3121502,1,0.6867,0.0987267,424.0,0.0,1.0,1.0,4.0,0.0,1.0,0.75,0.542,0.554,3.834,2.2318,-1285.0,35.9943,35.0,242.959
11470,ESPORTSTMNT03_3103038,1,0.4486,0.0940931,2055.0,1.0,1.0,1.0,7.0,1.0,0.0,0.4,0.506,0.553,4.2897,1.9346,687.0,35.6916,30.0,249.129
41326,ESPORTSTMNT01_3325223,1,0.8301,0.0570772,-2297.0,0.0,1.0,0.0,2.0,0.0,0.0,0.571,0.475,0.493,3.4055,2.022,-1011.0,28.0525,-3.0,235.437
15082,ESPORTSTMNT01_3309043,1,0.4427,0.138329,2249.0,1.0,1.0,1.0,5.0,1.0,1.0,0.8,0.493,0.506,3.4896,2.2135,180.0,32.474,-4.0,249.464
42587,ESPORTSTMNT01_3324628,1,0.5698,0.050711,2296.0,1.0,1.0,1.0,4.0,0.0,1.0,0.8,0.521,0.468,3.2194,1.5954,978.0,35.2137,21.0,251.977
2711,ESPORTSTMNT04_2665208,0,0.5784,-0.057343,-295.0,0.0,1.0,1.0,4.0,0.0,1.0,0.5,0.492,0.432,3.7336,2.1823,-204.0,32.1034,-5.0,211.067
6563,ESPORTSTMNT03_3093537,1,0.8182,0.0751572,650.0,1.0,1.0,1.0,4.0,0.0,0.0,0.6,0.497,0.581,2.7818,2.5091,1503.0,34.9364,18.0,265.222
2327,ESPORTSTMNT04_2665186,0,0.4458,-0.122635,-22.0,0.0,0.0,0.0,1.0,0.0,1.0,0.333,0.495,0.495,3.0157,1.7832,-477.0,32.7273,16.0,185.156
9370,ESPORTSTMNT01_3298877,0,0.393,-0.0697178,-336.0,1.0,0.0,0.0,2.0,1.0,0.0,0.2,0.486,0.453,3.6157,1.7555,-81.0,31.8341,-34.0,190.894
25787,ESPORTSTMNT02_3163043,1,0.9251,0.0246093,-1610.0,1.0,0.0,0.0,2.0,0.0,0.0,0.333,0.508,0.523,0.0,1.9786,-1035.0,32.8908,-19.0,264.956
14291,ESPORTSTMNT01_3306514,1,0.6844,0.0756235,2303.0,1.0,0.0,1.0,6.0,1.0,1.0,0.75,0.52,0.597,3.1084,1.7395,410.0,35.9601,-2.0,267.091
2746,ESPORTSTMNT04_2663232,1,0.6945,0.237735,3813.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.518,0.587,2.6875,1.6306,1464.0,38.0171,17.0,285.433
41722,ESPORTSTMNT01_3325340,0,0.6253,-0.0456134,471.0,1.0,1.0,0.0,2.0,0.0,1.0,0.5,0.521,0.436,4.4367,1.995,2079.0,35.5533,42.0,215.803
48586,ESPORTSTMNT06_2778032,0,0.6263,0.113166,154.0,0.0,1.0,1.0,5.0,1.0,0.0,0.5,0.48,0.601,3.0108,1.5897,-200.0,31.7945,6.0,236.589
18611,ESPORTSTMNT02_3148704,1,0.5457,0.0657324,4141.0,1.0,1.0,1.0,6.0,0.0,1.0,0.4,0.523,0.615,0.0,3.0445,1533.0,37.0225,31.0,253.942
40823,ESPORTSTMNT01_3326046,1,0.626,0.0833879,1718.0,0.0,1.0,1.0,7.0,1.0,0.0,0.8,0.515,0.513,3.7246,2.0344,1946.0,38.6541,7.0,280.113
37799,ESPORTSTMNT03_3128023,1,0.8368,0.0776272,-1696.0,0.0,0.0,0.0,4.0,1.0,0.0,0.333,0.508,0.489,3.3716,1.5751,-1173.0,30.9844,-2.0,259.117
4174,ESPORTSTMNT03_3090322,1,0.755,-0.0285785,2344.0,1.0,1.0,1.0,3.0,0.0,1.0,0.833,0.491,0.542,5.5872,1.9128,1112.0,31.5101,6.0,236.215
29758,ESPORTSTMNT03_3113903,0,0.5415,-0.0238527,2399.0,1.0,1.0,0.0,3.0,1.0,0.0,0.4,0.508,0.511,2.9513,1.787,755.0,33.8448,-22.0,192.455
14866,ESPORTSTMNT01_3308842,1,0.5063,0.090535,-1107.0,0.0,0.0,0.0,4.0,0.0,0.0,0.5,0.504,0.614,3.6456,1.8987,-916.0,33.4937,13.0,234.461
13643,ESPORTSTMNT01_3304899,0,0.6373,-0.0586223,-137.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,0.509,0.448,3.1259,2.3976,-1277.0,36.6009,-17.0,215.011
38087,ESPORTSTMNT06_2775434,1,0.6398,0.0153659,-3089.0,0.0,0.0,0.0,0.0,0.0,1.0,0.667,0.508,0.525,4.1168,1.363,-1415.0,35.1599,-1.0,241.675
48526,ESPORTSTMNT06_2777051,1,0.6755,0.0510326,976.0,0.0,1.0,1.0,4.0,1.0,0.0,0.333,0.507,0.525,3.2328,1.5199,579.0,30.3739,19.0,244.507
10438,ESPORTSTMNT01_3301201,0,0.6038,-0.0981027,-523.0,0.0,0.0,0.0,3.0,1.0,0.0,0.2,0.493,0.452,2.4154,1.6468,579.0,33.8426,15.0,205.109
41591,ESPORTSTMNT01_3325316,1,0.6171,0.129483,296.0,0.0,0.0,1.0,3.0,1.0,0.0,0.4,0.519,0.558,4.1234,2.244,1046.0,35.568,27.0,268.079
42719,ESPORTSTMNT01_3324649,1,0.5924,0.0529236,19.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6,0.519,0.528,3.6389,2.0874,-254.0,35.0353,3.0,247.272
18574,ESPORTSTMNT02_3150637,0,0.621,-0.0899915,-1447.0,0.0,0.0,1.0,5.0,0.0,1.0,0.2,0.478,0.442,0.0,1.5783,-1789.0,31.3842,-14.0,203.198
43678,ESPORTSTMNT01_3326924,1,0.9247,0.0125786,-1136.0,0.0,1.0,1.0,1.0,0.0,0.0,0.333,0.502,0.486,3.5931,2.2457,-1817.0,33.0515,-30.0,254.89
