,gameid,result,ckpm,gspd,golddiffat15,firstblood,firsttower,firsttothreetowers,turretplates,firstherald,firstdragon,dragons,minionkills,monsterkills,wpm,wcpm
43318,ESPORTSTMNT01_3324855,1,0.6438,-0.0274859,516.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.512,0.473,3.2687,2.501
37558,ESPORTSTMNT03_3124934,1,0.6542,0.132947,1560.0,1.0,1.0,1.0,6.0,0.0,1.0,0.8,0.498,0.511,4.1867,1.7532
14758,ESPORTSTMNT01_3308783,0,0.7933,-0.0805179,700.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,0.502,0.463,4.0987,2.3535
26051,ESPORTSTMNT02_3163394,1,0.8423,0.232257,5547.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.51,0.605,0.0,1.7969
41290,ESPORTSTMNT01_3325205,0,0.6369,-0.175553,-1058.0,0.0,1.0,1.0,6.0,1.0,0.0,0.167,0.477,0.427,4.2548,2.2166
25271,ESPORTSTMNT02_3162683,1,0.529,0.165834,2505.0,1.0,1.0,1.0,6.0,1.0,1.0,0.8,0.501,0.542,0.0,1.4478
25270,ESPORTSTMNT02_3162683,0,0.529,-0.165834,-2505.0,0.0,0.0,0.0,3.0,0.0,0.0,0.2,0.499,0.458,0.0,1.4478
10403,ESPORTSTMNT01_3301190,0,0.9472,-0.101946,-2196.0,1.0,0.0,0.0,5.0,0.0,1.0,0.2,0.482,0.457,4.3872,1.8197
14759,ESPORTSTMNT01_3308783,1,0.7933,0.0805179,-700.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.498,0.537,3.9929,2.1419
43199,ESPORTSTMNT01_3325730,0,1.0304,-0.0348814,-1980.0,0.0,1.0,0.0,7.0,1.0,0.0,0.5,0.501,0.521,3.8838,1.2946
26015,ESPORTSTMNT02_3163371,0,0.6014,0.0549753,12.0,0.0,1.0,1.0,3.0,1.0,0.0,0.5,0.484,0.512,0.0,1.5397
43198,ESPORTSTMNT01_3325730,1,1.0304,0.0348814,1980.0,1.0,0.0,1.0,5.0,0.0,1.0,0.5,0.499,0.479,2.5099,1.7966
43438,ESPORTSTMNT01_3325814,0,0.8638,-0.0838637,-143.0,1.0,0.0,0.0,5.0,0.0,0.0,0.2,0.491,0.438,3.2086,1.2834
19774,ESPORTSTMNT02_3152188,0,0.4871,-0.17509,-1446.0,0.0,1.0,0.0,6.0,1.0,1.0,0.4,0.487,0.393,0.0,1.3467
26050,ESPORTSTMNT02_3163394,0,0.8423,-0.232257,-5547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.395,0.0,1.6285
31414,ESPORTSTMNT03_3114599,0,0.4788,-0.121507,-2743.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.507,0.554,3.8304,1.4065
25318,ESPORTSTMNT02_3162712,1,0.5268,0.0588235,521.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.507,0.491,0.0,1.5277
19822,ESPORTSTMNT02_3152211,1,0.8359,0.0773611,-337.0,0.0,1.0,1.0,4.0,0.0,1.0,0.8,0.474,0.537,0.0,2.0897
43319,ESPORTSTMNT01_3324855,0,0.6438,0.0274859,-516.0,1.0,0.0,1.0,4.0,1.0,1.0,0.5,0.488,0.527,4.1106,1.5848
20711,ESPORTSTMNT02_3152523,1,0.5769,0.12513,940.0,1.0,0.0,0.0,2.0,0.0,1.0,0.6,0.5,0.572,0.0,1.3968
20710,ESPORTSTMNT02_3152523,0,0.5769,-0.12513,-940.0,0.0,1.0,1.0,5.0,1.0,0.0,0.4,0.5,0.428,0.0,1.1842
25378,ESPORTSTMNT02_3160853,0,0.5981,0.0117832,-2436.0,0.0,1.0,0.0,3.0,0.0,0.0,0.2,0.509,0.499,0.0,1.3865
31415,ESPORTSTMNT03_3114599,1,0.4788,0.121507,2743.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,0.493,0.446,3.591,1.9152
5915,ESPORTSTMNT02_3139949,1,0.8479,-0.00233725,-2919.0,0.0,0.0,0.0,0.0,0.0,1.0,0.667,0.478,0.489,4.2643,1.5461
25319,ESPORTSTMNT02_3162712,0,0.5268,-0.0588235,-521.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.493,0.509,0.0,1.4486
37534,ESPORTSTMNT03_3123916,1,0.8157,-0.0130368,-763.0,0.0,0.0,1.0,1.0,1.0,0.0,0.6,0.505,0.562,4.7432,2.2054
30479,ESPORTSTMNT03_3115173,1,0.7213,0.170138,1094.0,1.0,1.0,1.0,2.0,0.0,1.0,0.75,0.519,0.535,4.4918,2.2295
41374,ESPORTSTMNT01_3326246,1,0.5377,0.0599008,286.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.522,0.561,3.4159,1.6763
25955,ESPORTSTMNT02_3164302,1,0.8408,0.16935,1573.0,1.0,1.0,1.0,5.0,1.0,1.0,0.8,0.52,0.565,0.0,2.4324
10367,ESPORTSTMNT01_3301178,1,0.7329,0.174753,5319.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,0.518,0.58,2.7984,1.4325
5230,ESPORTSTMNT02_3141821,1,0.524,0.14065,6443.0,1.0,1.0,1.0,10.0,1.0,1.0,0.75,0.512,0.546,4.5852,1.7686
5170,ESPORTSTMNT02_3139796,0,0.7595,-0.139895,-1161.0,0.0,0.0,0.0,4.0,0.0,1.0,0.25,0.503,0.423,2.8481,1.2025
37535,ESPORTSTMNT03_3123916,0,0.8157,0.0130368,763.0,1.0,1.0,0.0,2.0,0.0,1.0,0.4,0.495,0.438,3.6858,2.5076
14663,ESPORTSTMNT01_3307762,0,0.8061,-0.0842452,747.0,1.0,1.0,1.0,2.0,0.0,1.0,0.4,0.507,0.479,2.9079,1.4683
18971,ESPORTSTMNT02_3150844,1,0.6027,0.096534,1633.0,0.0,1.0,1.0,9.0,0.0,1.0,1.0,0.503,0.554,0.0,1.7479
25379,ESPORTSTMNT02_3160853,1,0.5981,-0.0117832,2436.0,1.0,0.0,1.0,3.0,1.0,1.0,0.8,0.491,0.501,0.0,1.1418
5171,ESPORTSTMNT02_3139796,1,0.7595,0.139895,1161.0,1.0,1.0,1.0,3.0,1.0,0.0,0.75,0.497,0.577,3.038,1.4557
18923,ESPORTSTMNT02_3148844,1,0.7527,0.107139,1749.0,0.0,1.0,1.0,3.0,1.0,1.0,0.8,0.514,0.534,0.0,1.6937
18970,ESPORTSTMNT02_3150844,0,0.6027,-0.096534,-1633.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.497,0.446,0.0,1.2054
20843,ESPORTSTMNT02_3151621,0,0.5515,-0.12457,-1944.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.501,0.492,0.0,1.5965
