,gameid,result,ckpm,gspd,golddiffat15,firstblood,firsttower,firsttothreetowers,turretplates,firstherald,firstdragon,dragons,minionkills,monsterkills,wpm,wcpm,gd10,cspm,csd10,egpm
35962,ESPORTSTMNT03_3123174,0,0.767,-0.0429418,537.0,1.0,0.0,1.0,3.0,1.0,0.0,0.286,0.479,0.49,3.5091,1.745,853.0,26.9607,22.0,202.577
20098,ESPORTSTMNT02_3151357,1,0.501,0.0457306,-1429.0,0.0,1.0,0.0,3.0,0.0,1.0,0.5,0.534,0.45,0.0,1.2406,-1302.0,31.9205,24.0,242.037
21935,ESPORTSTMNT02_3154101,1,0.3946,0.0467567,1706.0,1.0,1.0,1.0,1.0,0.0,1.0,0.429,0.489,0.573,0.0,2.0426,204.0,32.9594,-21.0,224.88
5831,ESPORTSTMNT02_3139906,0,0.5208,-0.0083711,3732.0,1.0,1.0,1.0,4.0,0.0,1.0,0.5,0.49,0.544,3.8491,1.6302,2179.0,32.3774,47.0,211.798
32459,ESPORTSTMNT03_3117109,1,0.3851,0.107026,2253.0,1.0,1.0,1.0,5.0,1.0,0.0,0.8,0.512,0.465,3.4917,2.1309,806.0,34.5571,-18.0,234.475
43462,ESPORTSTMNT01_3324890,0,0.8605,-0.0631521,2935.0,0.0,1.0,1.0,8.0,1.0,0.0,0.333,0.504,0.52,3.8837,1.4419,153.0,32.6047,9.0,217.544
13510,ESPORTSTMNT01_3304845,0,0.6136,-0.0486529,-1302.0,1.0,0.0,0.0,2.0,1.0,1.0,0.5,0.515,0.432,3.4682,2.321,-214.0,35.1356,-2.0,206.593
26963,ESPORTSTMNT02_3163849,1,0.8178,0.0579473,668.0,1.0,0.0,1.0,5.0,1.0,0.0,0.667,0.504,0.53,0.0,2.066,956.0,29.5911,-24.0,240.891
46846,ESPORTSTMNT01_3332417,0,0.9313,0.110114,5937.0,1.0,1.0,1.0,10.0,1.0,0.0,0.5,0.502,0.508,4.9825,3.0035,3173.0,31.688,-15.0,249.844
36682,ESPORTSTMNT06_2775347,0,0.7263,0.0517711,-788.0,1.0,0.0,0.0,1.0,0.0,0.0,0.429,0.504,0.544,4.0719,1.6508,-592.0,31.0125,-10.0,213.103
26902,ESPORTSTMNT02_3165696,1,0.4682,0.0956538,488.0,0.0,1.0,1.0,3.0,1.0,1.0,0.333,0.495,0.522,0.0,1.7792,596.0,32.4464,11.0,232.631
5123,ESPORTSTMNT02_3141793,0,0.7901,-0.0387877,-2976.0,0.0,1.0,0.0,2.0,0.0,0.0,0.333,0.486,0.487,2.9977,1.9287,-1824.0,31.5569,-4.0,221.479
46847,ESPORTSTMNT01_3332417,1,0.9313,-0.110114,-5937.0,0.0,0.0,0.0,4.0,0.0,1.0,0.5,0.498,0.492,4.9825,2.142,-3173.0,31.3155,15.0,233.616
48587,ESPORTSTMNT06_2778032,1,0.6263,-0.113166,-154.0,1.0,0.0,0.0,3.0,0.0,1.0,0.5,0.52,0.399,3.7575,1.3248,200.0,31.4332,-6.0,219.324
24562,ESPORTSTMNT02_3161272,1,0.6197,0.112225,2048.0,1.0,1.0,1.0,6.0,1.0,0.0,0.5,0.515,0.596,0.0,2.1284,220.0,37.0184,22.0,266.215
18575,ESPORTSTMNT02_3150637,1,0.621,0.0899915,1447.0,1.0,1.0,0.0,7.0,1.0,0.0,0.8,0.522,0.558,0.0,2.3286,1789.0,35.11,14.0,251.188
20950,ESPORTSTMNT02_3152651,0,0.4588,-0.0458642,210.0,1.0,0.0,0.0,5.0,1.0,1.0,0.333,0.488,0.49,0.0,2.1489,1150.0,32.7404,13.0,196.544
50686,ESPORTSTMNT01_3337205,1,0.6911,-0.00313491,3264.0,0.0,1.0,1.0,7.0,1.0,0.0,0.6,0.505,0.535,3.6281,2.4434,1082.0,33.369,22.0,241.451
31366,ESPORTSTMNT03_3115587,1,0.6287,0.0482881,2159.0,1.0,0.0,1.0,2.0,0.0,0.0,0.4,0.503,0.57,4.1241,1.6597,1665.0,35.0545,17.0,256.124
26962,ESPORTSTMNT02_3163849,0,0.8178,-0.0579473,-668.0,0.0,1.0,0.0,2.0,0.0,1.0,0.333,0.496,0.47,0.0,1.9154,-956.0,28.6011,24.0,195.964
43463,ESPORTSTMNT01_3324890,1,0.8605,0.0631521,-2935.0,1.0,0.0,0.0,0.0,0.0,1.0,0.667,0.496,0.48,2.8605,1.9535,-153.0,31.6744,-9.0,253.772
47507,ESPORTSTMNT03_3133116,1,0.7925,0.0890486,3000.0,1.0,1.0,1.0,6.0,1.0,1.0,0.833,0.515,0.53,3.6302,2.1474,1040.0,34.461,11.0,262.891
16582,ESPORTSTMNT01_3309955,1,0.3141,0.0819099,2225.0,1.0,1.0,1.0,5.0,1.0,1.0,0.833,0.51,0.565,3.2199,2.0681,622.0,35.445,20.0,256.084
36683,ESPORTSTMNT06_2775347,1,0.7263,-0.0517711,788.0,0.0,1.0,1.0,3.0,1.0,1.0,0.571,0.496,0.456,3.8958,2.135,592.0,29.5598,10.0,219.61
9371,ESPORTSTMNT01_3298877,1,0.393,0.0697178,336.0,0.0,1.0,1.0,4.0,0.0,1.0,0.8,0.514,0.547,3.6157,2.0699,81.0,34.4017,34.0,242.819
39238,ESPORTSTMNT06_2775531,1,0.8535,0.0238804,-2053.0,0.0,0.0,1.0,4.0,0.0,0.0,0.429,0.492,0.393,2.9232,2.0484,-838.0,27.845,-37.0,230.492
